price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
35986,2019,volvo,excellent,4 cylinders,gas,29401,clean,automatic,4wd,full-size,SUV,blue,mi
9995,2013,mini,like new,4 cylinders,gas,101317,clean,automatic,fwd,mid-size,hatchback,white,il
5980,2002,ford,excellent,8 cylinders,gas,236297,clean,automatic,rwd,full-size,truck,white,nv
24998,2015,lexus,good,6 cylinders,gas,69693,clean,automatic,4wd,mid-size,sedan,grey,vt
3500,2005,jeep,excellent,6 cylinders,gas,167000,clean,automatic,4wd,full-size,SUV,grey,ny
45425,2015,ford,excellent,8 cylinders,diesel,89437,clean,automatic,4wd,full-size,pickup,red,nc
13995,2010,chevrolet,good,8 cylinders,gas,165000,clean,automatic,4wd,full-size,pickup,blue,ny
6000,2012,honda,excellent,4 cylinders,gas,71000,salvage,automatic,fwd,mid-size,coupe,white,oh
28990,2008,ford,good,8 cylinders,gas,118078,clean,automatic,rwd,full-size,truck,white,ny
5850,2008,chrysler,like new,6 cylinders,gas,146265,clean,automatic,fwd,full-size,convertible,white,fl
18995,2017,kia,new,4 cylinders,gas,8600,clean,automatic,4wd,mid-size,SUV,brown,ny
33990,2012,ford,good,8 cylinders,diesel,49678,clean,automatic,4wd,full-size,truck,white,ny
49990,2013,ford,good,8 cylinders,diesel,98689,clean,automatic,4wd,full-size,truck,white,sc
27497,2016,jeep,excellent,6 cylinders,gas,80439,clean,automatic,4wd,mid-size,SUV,black,az
3900,2007,pontiac,like new,6 cylinders,gas,179916,clean,automatic,fwd,full-size,SUV,grey,fl
29995,2018,ford,good,5 cylinders,diesel,72951,clean,automatic,rwd,full-size,van,white,tx
22995,2008,ford,excellent,8 cylinders,diesel,177793,clean,automatic,4wd,full-size,pickup,red,or
31995,2015,ford,excellent,6 cylinders,gas,109500,clean,other,4wd,full-size,truck,white,mt
12000,2012,mercedes-benz,excellent,6 cylinders,gas,106000,clean,automatic,rwd,compact,coupe,grey,ca
8995,2016,ford,excellent,4 cylinders,gas,66326,clean,automatic,fwd,sub-compact,sedan,black,il
85,2010,ford,good,4 cylinders,gas,129621,clean,automatic,fwd,full-size,sedan,white,fl
24500,2018,honda,like new,4 cylinders,gas,63372,clean,automatic,fwd,full-size,sedan,blue,ca
14995,2017,volkswagen,excellent,4 cylinders,gas,88104,clean,automatic,fwd,full-size,sedan,grey,mn
10900,2016,subaru,like new,4 cylinders,gas,46000,rebuilt,automatic,4wd,full-size,sedan,white,pa
8300,2012,toyota,good,4 cylinders,hybrid,129000,rebuilt,automatic,fwd,full-size,hatchback,red,mo
76100,2018,tesla,like new,other,electric,6400,rebuilt,automatic,4wd,full-size,SUV,white,fl
21100,2018,gmc,excellent,4 cylinders,gas,29964,clean,automatic,4wd,mid-size,SUV,grey,mi
5995,2010,nissan,good,4 cylinders,gas,138457,clean,automatic,fwd,mid-size,coupe,blue,ia
32870,2012,cadillac,excellent,8 cylinders,gas,86350,clean,automatic,rwd,mid-size,coupe,black,tx
38000,1982,volkswagen,excellent,4 cylinders,gas,100000,clean,manual,4wd,full-size,van,yellow,ut
15900,2005,chevrolet,excellent,8 cylinders,gas,127000,clean,automatic,4wd,full-size,SUV,grey,mo
9995,2009,honda,like new,4 cylinders,gas,112065,clean,automatic,fwd,full-size,sedan,grey,ca
5300,2008,honda,good,6 cylinders,gas,183552,clean,automatic,fwd,full-size,sedan,white,mt
39488,2015,ford,good,8 cylinders,diesel,79138,clean,automatic,4wd,full-size,truck,white,tx
11200,2016,mazda,good,4 cylinders,gas,60225,clean,automatic,fwd,mid-size,sedan,white,tx
12995,2012,toyota,good,4 cylinders,gas,82899,clean,automatic,rwd,full-size,truck,white,oh
27900,2015,chevrolet,excellent,8 cylinders,gas,107297,clean,automatic,rwd,full-size,SUV,white,ca
7800,2013,nissan,excellent,4 cylinders,gas,124555,clean,automatic,4wd,compact,SUV,white,ca
5950,2006,chevrolet,good,8 cylinders,gas,151627,clean,automatic,rwd,full-size,truck,white,wv
17995,2005,nissan,excellent,8 cylinders,gas,126743,clean,automatic,4wd,full-size,truck,white,ca
